Tratamiento,Resultado,ATE_diff,ATE_reg,p_valor (reg),IC_reg_low,IC_reg_high,N_parejas
recgov_sq001,actfreq_sq001,0.30000000000000004,0.30000000000000004,0.06516948808048838,-0.020921142620175248,0.6209211426201753,10
recgov_sq002,actfreq_sq002,0.3333333333333333,0.33333333333333387,1.8647796380400657e-06,0.19981948337805922,0.4668471832886085,93
recgov_sq003,actfreq_sq003,0.2524271844660194,0.25242718446601964,0.0001708886107418923,0.12245924801872912,0.3823951209133102,103
recgov_sq004,actfreq_sq004,0.5769230769230769,0.5769230769230768,3.322423394415587e-11,0.4230432174084157,0.7308029364377377,52
recgov_sq005,actfreq_sq005,0.42803030303030304,0.4280303030303027,1.5953840503539388e-55,0.37763059664391163,0.4784300094166938,528
recgov_sq006,actfreq_sq006,0.49650349650349657,0.4965034965034957,5.864790593672794e-39,0.42735438415374366,0.5656526088532478,286
recgov_sq007,actfreq_sq007,0.2333333333333334,0.23333333333333334,0.037364197853207264,0.0141261924158875,0.45254047425077915,30
recgov_sq008,actfreq_sq008,0.1333333333333333,0.13333333333333336,0.13315417869671853,-0.04189225495736604,0.30855892162403276,30
recgov_sq010,actfreq_sq010,0.0,-4.996003610813204e-16,0.012958793349090659,-8.616643313190866e-16,-1.3753639084355433e-16,5
recgov_sq012,actfreq_sq012,0.21231766612641823,0.2123176661264189,6.539059879646125e-25,0.17278100281227804,0.25185432944055974,617
recgov_sq013,actfreq_sq013,0.14583333333333337,0.14583333333333273,5.851647579770164e-06,0.08344976687683053,0.20821689978983493,192
recgov_sq014,actfreq_sq014,0.0,1.5265566588595902e-16,0.012341948788269837,3.556877441952829e-17,2.697425573523898e-16,16
recgov_sq016,actfreq_sq016,0.30638297872340425,0.30638297872340303,2.1580941217306533e-16,0.2357422561160866,0.3770237013307195,235
recgov_sq017,actfreq_sq017,0.26053639846743293,0.2605363984674337,2.5128183895323682e-34,0.22019072215200342,0.300882074782864,522
recgov_sq018,actfreq_sq018,0.05555555555555558,0.05555555555555581,0.15577990854494875,-0.021665952764641512,0.13277706387575314,36
recgov_sq019,actfreq_sq019,0.49090909090909085,0.49090909090909074,8.223660172995908e-16,0.3796886698791775,0.602129511939004,110
recgov_sq020,actfreq_sq020,0.1785714285714286,0.17857142857142877,0.018789073034821052,0.030797698421730774,0.3263451587211268,28
recgov_sq021,actfreq_sq021,0.1328125,0.13281250000000044,4.1200703727936654e-05,0.07014493753158327,0.19548006246841762,128
recgov_sq022,actfreq_sq022,0.04729729729729726,0.047297297297297015,0.0066606224757033,0.01318359849094703,0.081410996103647,296
recgov_sq024,actfreq_sq024,0.31092436974789917,0.31092436974789883,7.026707555010988e-09,0.20898522425541527,0.4128635152403824,119
